Country Code,Indicator,Year,Value
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2005,7.12
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2004,7.76
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,8.21
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2002,7.88
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2001,8.98
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2000,10.58
RUS,"Inflation, consumer prices (annual %)",2021,6.69445891957637
RUS,"Inflation, consumer prices (annual %)",2020,3.38165937237877
RUS,"Inflation, consumer prices (annual %)",2019,4.47036660760193
RUS,"Inflation, consumer prices (annual %)",2018,2.87829723647867
RUS,"Inflation, consumer prices (annual %)",2017,3.68332944412253
RUS,"Inflation, consumer prices (annual %)",2016,7.04244762954774
RUS,"Inflation, consumer prices (annual %)",2015,15.5344050528405
RUS,"Inflation, consumer prices (annual %)",2014,7.82341183865533
RUS,"Inflation, consumer prices (annual %)",2013,6.75371026220899
RUS,"Inflation, consumer prices (annual %)",2012,5.0747430079914
RUS,"Inflation, consumer prices (annual %)",2011,8.4404648593256
RUS,"Inflation, consumer prices (annual %)",2010,6.84939230255067
RUS,"Inflation, consumer prices (annual %)",2009,11.6473295764118
RUS,"Inflation, consumer prices (annual %)",2008,14.1107677840443
RUS,"Inflation, consumer prices (annual %)",2007,9.00729868861072
RUS,"Inflation, consumer prices (annual %)",2006,9.66865454789263
RUS,"Inflation, consumer prices (annual %)",2005,12.685303950735
RUS,"Inflation, consumer prices (annual %)",2004,10.8886157326216
RUS,"Inflation, consumer prices (annual %)",2003,13.6632930228665
RUS,"Inflation, consumer prices (annual %)",2002,15.7887307914464
RUS,"Inflation, consumer prices (annual %)",2001,21.4770072117157
RUS,"Inflation, consumer prices (annual %)",2000,20.7987606558706
RUS,"Central government debt, total (% of GDP)",2021,20.9405403008241
RUS,"Central government debt, total (% of GDP)",2020,22.992021036968
RUS,"Central government debt, total (% of GDP)",2019,17.2760484379376
RUS,"Central government debt, total (% of GDP)",2018,16.1685789853238
RUS,"Central government debt, total (% of GDP)",2017,16.3253741158845
RUS,"Central government debt, total (% of GDP)",2016,14.2417395793548
RUS,"Central government debt, total (% of GDP)",2015,13.5407657768558
RUS,"Central government debt, total (% of GDP)",2014,11.2004612827286
RUS,"Central government debt, total (% of GDP)",2013,9.06725564048848
RUS,"Central government debt, total (% of GDP)",2012,8.55140859340356
RUS,"Central government debt, total (% of GDP)",2011,8.64108194430582
RUS,"Central government debt, total (% of GDP)",2010,9.09810564473106
RUS,"Central government debt, total (% of GDP)",2009,8.69786633503919
RUS,"Central government debt, total (% of GDP)",2008,6.49528743788997
RUS,"Central government debt, total (% of GDP)",2007,7.15843011658404
RUS,"Central government debt, total (% of GDP)",2006,9.89107286046746
RUS,"Central government debt, total (% of GDP)",2005,16.6608684477983
RUS,"Central government debt, total (% of GDP)",2004,
RUS,"Central government debt, total (% of GDP)",2003,
RUS,"Central government debt, total (% of GDP)",2002,41.3527168644107
RUS,"Central government debt, total (% of GDP)",2001,48.9836153351704
RUS,"Central government debt, total (% of GDP)",2000,62.1488888669576
RUS,Current account balance (% of GDP),2021,6.64784783088584
RUS,Current account balance (% of GDP),2020,2.36911533657246
RUS,Current account balance (% of GDP),2019,3.87612476973049
RUS,Current account balance (% of GDP),2018,6.97989872935135
RUS,Current account balance (% of GDP),2017,2.04412673615753
RUS,Current account balance (% of GDP),2016,1.91643731021353
RUS,Current account balance (% of GDP),2015,4.97088857375125
RUS,Current account balance (% of GDP),2014,2.79290979175164
RUS,Current account balance (% of GDP),2013,1.45817388483059
RUS,Current account balance (% of GDP),2012,3.22793090052757
RUS,Current account balance (% of GDP),2011,4.75452652542426
RUS,Current account balance (% of GDP),2010,4.4233366535099
RUS,Current account balance (% of GDP),2009,4.12086933736946
RUS,Current account balance (% of GDP),2008,6.25797161157479
RUS,Current account balance (% of GDP),2007,5.55457619335894
RUS,Current account balance (% of GDP),2006,9.32544491399994
RUS,Current account balance (% of GDP),2005,11.0454169715192
RUS,Current account balance (% of GDP),2004,9.90832254287658
RUS,Current account balance (% of GDP),2003,7.69799200510312
RUS,Current account balance (% of GDP),2002,7.9523289090993
RUS,Current account balance (% of GDP),2001,10.4545347443772
RUS,Current account balance (% of GDP),2000,17.4742424828314
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2021,40449990000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2020,9478810000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2019,31974770000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2018,8784850000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2017,28557440000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2016,32538900000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2015,6852970000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2014,22031340000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2013,69218890000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2012,50587560000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2011,55083630000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2010,43167780000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2009,36583100000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2008,74782910000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2007,55873680000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2006,37594770000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2005,15508050000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2004,15402990000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2003,7928630000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2002,3473830000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2001,2847300000
RUS,"Foreign direct investment, net inflows (BoP, current US$)",2000,2678030000
RUS,"PPP conversion factor, GDP (LCU per international $)",2021,27.8144
RUS,"PPP conversion factor, GDP (LCU per international $)",2020,24.49286
RUS,"PPP conversion factor, GDP (LCU per international $)",2019,24.83826
RUS,"PPP conversion factor, GDP (LCU per international $)",2018,24.5429
RUS,"PPP conversion factor, GDP (LCU per international $)",2017,24.12418
RUS,"PPP conversion factor, GDP (LCU per international $)",2016,24.19234
RUS,"PPP conversion factor, GDP (LCU per international $)",2015,23.56263
RUS,"PPP conversion factor, GDP (LCU per international $)",2014,20.99888
RUS,"PPP conversion factor, GDP (LCU per international $)",2013,19.50559
RUS,"PPP conversion factor, GDP (LCU per international $)",2012,19.56826
RUS,"PPP conversion factor, GDP (LCU per international $)",2011,18.44373
RUS,"PPP conversion factor, GDP (LCU per international $)",2010,15.82114
RUS,"PPP conversion factor, GDP (LCU per international $)",2009,14.01691
RUS,"PPP conversion factor, GDP (LCU per international $)",2008,14.3412
RUS,"PPP conversion factor, GDP (LCU per international $)",2007,13.9845
RUS,"PPP conversion factor, GDP (LCU per international $)",2006,12.61829
RUS,"PPP conversion factor, GDP (LCU per international $)",2005,12.73613
RUS,"PPP conversion factor, GDP (LCU per international $)",2004,11.55684
RUS,"PPP conversion factor, GDP (LCU per international $)",2003,9.866787
RUS,"PPP conversion factor, GDP (LCU per international $)",2002,9.273504
RUS,"PPP conversion factor, GDP (LCU per international $)",2001,8.322817
RUS,"PPP conversion factor, GDP (LCU per international $)",2000,7.301404
